delta_t,brightness,bright_t31,frp,scan,track,mes,hora,es_noche,latitude,longitude,es_falsa_alarma
35.47000000000003,340.41,304.94,32.83,0.54,0.42,6,11,0,-11.00356,22.0491,0
11.550000000000011,303.19,291.64,0.88,0.38,0.36,6,9,1,30.9221,-110.01466,0
49.74000000000001,351.01,301.27,170.26,0.45,0.39,6,11,0,-6.40621,28.32283,0
42.68000000000001,327.8,285.12,4.8,0.49,0.4,6,18,0,-31.31907,-59.1968,0
21.239999999999952,309.09,287.85,1.34,0.47,0.4,6,23,1,41.17367,32.63446,0
42.48999999999995,337.34,294.85,12.32,0.56,0.69,6,13,0,-7.5245,18.75415,0
25.74000000000001,333.49,307.75,12.47,0.53,0.5,6,12,0,-11.51901,21.07803,1
21.72999999999996,318.02,296.29,3.12,0.5,0.41,6,17,1,31.74097,118.48837,0
32.10999999999996,338.46,306.35,3.53,0.4,0.37,6,12,0,-10.79083,15.29743,0
16.77000000000004,297.55,280.78,0.7,0.4,0.37,6,22,1,-18.45687,46.25714,0
31.210000000000036,333.98,302.77,6.01,0.76,0.77,6,9,0,-20.82509,45.96767,0
39.93000000000001,325.66,285.73,2.98,0.56,0.69,6,3,0,-14.41303,142.25789,0
33.74000000000001,336.13,302.39,4.87,0.45,0.39,6,11,0,-7.60466,28.61803,0
11.729999999999961,301.28,289.55,1.83,0.49,0.65,6,22,1,-6.38877,26.77423,0
26.129999999999995,330.59,304.46,2.86,0.46,0.39,6,11,0,-6.00334,28.58816,0
32.83000000000004,338.35,305.52,3.73,0.4,0.37,6,11,0,-5.94356,26.99259,0
35.68000000000001,334.64,298.96,4.71,0.42,0.61,6,18,0,-9.23727,-58.73328,0
28.109999999999957,333.46,305.35,2.55,0.41,0.37,6,11,0,-5.5935,26.98606,1
14.509999999999991,301.83,287.32,1.22,0.47,0.48,6,16,1,-12.82645,131.3325,0
32.76999999999998,334.49,301.72,23.24,0.4,0.44,6,11,0,-9.29205,27.34869,0
45.25,346.81,301.56,5.2,0.43,0.62,6,11,0,-12.53753,16.64923,0
54.920000000000016,340.0,285.08,3.29,0.41,0.61,6,10,1,39.96033,-120.03188,0
51.93000000000001,355.61,303.68,27.84,0.38,0.36,6,10,0,-12.05346,39.26443,0
35.83000000000004,333.54,297.71,5.39,0.53,0.67,6,10,0,-6.40725,26.76319,0
36.75,341.8,305.05,3.82,0.4,0.37,6,11,0,-6.5427,26.98739,0
43.06,340.81,297.75,6.11,0.52,0.42,6,4,0,-11.22104,132.33376,0
34.44,346.04,311.6,16.1,0.4,0.37,6,11,0,-7.44225,30.87283,0
31.480000000000018,334.88,303.4,18.3,0.43,0.38,6,11,0,-11.33285,24.29532,0
37.129999999999995,336.03,298.9,5.2,0.56,0.43,6,4,0,-11.84152,133.08746,0
37.670000000000016,341.91,304.24,2.53,0.39,0.44,6,11,0,-6.88592,27.02531,0
26.29000000000002,331.54,305.25,3.82,0.39,0.36,6,12,0,-11.40159,14.45493,1
19.850000000000023,313.85,294.0,1.79,0.41,0.37,6,23,1,-7.61237,26.32537,0
25.55000000000001,330.37,304.82,6.12,0.52,0.42,6,11,0,-7.22163,27.91561,1
65.72000000000003,367.0,301.28,19.07,0.69,0.74,6,10,0,-10.70037,25.98302,0
13.79000000000002,302.94,289.15,1.31,0.67,0.73,6,0,1,43.15165,2.89927,0
26.980000000000018,333.49,306.51,4.78,0.46,0.39,6,12,0,-9.31013,16.48653,1
35.44999999999999,334.68,299.23,3.58,0.4,0.37,6,4,0,61.51214,114.30756,0
41.25999999999999,340.12,298.86,6.84,0.4,0.37,6,5,0,31.77328,115.9943,1
61.829999999999984,367.0,305.17,17.05,0.41,0.61,6,11,0,-8.34261,22.43933,0
34.889999999999986,334.12,299.23,1.91,0.33,0.55,6,11,0,-5.95545,23.40765,0
40.91999999999996,330.4,289.48,10.98,0.76,0.77,6,11,0,-6.06447,18.04375,0
38.65999999999997,339.64,300.98,14.44,0.48,0.64,6,10,0,-6.88478,27.57891,0
36.629999999999995,345.38,308.75,8.19,0.39,0.36,6,11,0,-6.81669,26.55311,0
27.850000000000023,332.44,304.59,4.5,0.32,0.55,6,11,0,-8.91533,24.16709,0
32.079999999999984,331.08,299.0,5.19,0.43,0.38,6,11,0,-12.37459,24.35713,0
36.25,340.86,304.61,2.92,0.39,0.36,6,4,0,-18.59536,130.99612,0
50.02999999999997,353.65,303.62,6.48,0.44,0.38,6,4,0,-14.46472,126.19825,0
33.73000000000002,341.54,307.81,7.47,0.39,0.44,6,10,0,-18.70178,46.16599,0
